"1";"Част на речта";"Прилагателно име";"прил."
"2";"Форма";"Основна";"осн.ф."
"3";"Род";"Мъжки";"м.р."
"4";"Род";"Женски";"ж.р."
"5";"Род";"Среден";"ср.р."
"6";"Число";"Единствено";"ед.ч."
"7";"Число";"Множествено";"мн.ч."
"8";"Член";"Има";"чл."
"9";"Член";"Кратък";"кр.чл."
"10";"Член";"Пълен";"п.чл."
"11";"Форма";"Звателна";"зват.ф."
"12";"Форма";"Разширена";"разш.ф."
"13";"Част на речта";"Съществително име";"същ."
"14";"Част на речта";"Числително име";"числ."
"15";"Група";"Бройни";"брой."
"16";"Група";"Редни";"ред."
"17";"Форма";"Бройна";"брой.ф."
"18";"Форма";"Мъжколична";"м.л.ф."
"19";"Форма";"За приблизителен брой";"приб.брой"
"20";"Част на речта";"Местоимение";"мест."
"21";"Вид";"Лично";"лич."
"22";"Вид";"Притежателно";"прит."
"23";"Вид";"Възвратно";"възв."
"24";"Вид";"Показателно";"показ."
"25";"Вид";"Въпросително";"въпр."
"26";"Вид";"Относително";"относ."
"27";"Вид";"Неопределително";"неопр."
"28";"Вид";"Отрицателно";"отриц."
"29";"Вид";"Обобщително";"обобщ."
"30";"Падеж";"Винителен";"вин.п."
"31";"Падеж";"Дателен";"дат.п."
"32";"Форма";"Предложна";"предл."
"33";"Падеж";"Именителен";"имен.п."
"34";"Форма";"Кратка";"крат.ф."
"35";"Част на речта";"Наречие";"нар."
"36";"Част на речта";"Съюз";"съюз"
"37";"Част на речта";"Междуметие";"межд."
"38";"Означава";"Месец";"месец"
"39";"Означава";"Българско населено място";"Бг.нас.м."
"40";"Означава";"Български град";"Бг.гр."
"41";"Означава";"Българско географско понятие";"Бг.геог."
"42";"Означава";"Столица";"столица"
"43";"Означава";"Световноизвестен град";"гр."
"44";"Означава";"Държава";"държ."
"45";"Означава";"Българско мъжко име";"Бг.м.име"
"46";"Означава";"Българско женско име";"Бг.ж.име"
"47";"Означава";"Търговска марка";"търг.м."
"48";"Означава";"Известно име";"изв.име"
"49";"Означава";"Приказен или фолклорен герой";"прик./фолк."
"50";"Означава";"Празник";"празн."
"51";"Част на речта";"Частица";"част."
"52";"Част на речта";"Предлог";"предл."
"53";"Време";"Сегашно";"сег.вр."
"54";"Време";"Минало свършено";"мин.св.вр."
"55";"Време";"Минало несвършено";"мин.несв.вр."
"56";"Лице";"Първо";"1л."
"57";"Лице";"Второ";"2л."
"58";"Лице";"Трето";"3л."
"59";"Залог";"Деятелен";"де.з."
"60";"Залог";"Страдателен";"стр.з."
"61";"Вид";"Свършен";"св.вид"
"62";"Вид";"Несвършен";"несв.в."
"63";"Спрежение";"Първо";"I спр."
"64";"Спрежение";"Второ";"II спр."
"65";"Спрежение";"Трето";"III спр."
"66";"Вид";"Нарицателно";"неотр."
"67";"Вид";"Собствено";"собст."
"68";"Форма";"Родителновинителна";"род.вин.ф."
"69";"Причастие";"Сегашно деятелно";"сег.д.прич."
"70";"Причастие";"Минало свършено деятелно";"м.св.д.пр."
"71";"Причастие";"Минало несвършено деятелно";"м.несв.д.пр."
"72";"Причастие";"Минало страдателно";"м.стр.прич."
"73";"Форма";"Деепричастие";"деепр."
"74";"Означава";"Съкращение";"съкр."
"75";"Означава";"Световноизвестен географски обект";"геог."
"76";"Част на речта";"Глагол";"гл."
"77";"Наклонение";"Повелително";"пов.накл."
"78";"Причастие";"Деепричастие";"деепр."
"79";"Форма";"Пълна";"пълн.ф."
"80";"Форма";"Скъсена пълна";"скъс.пълн.ф."
"81";"Форма";"Скъсена";"скъс.ф."
"82";"За";"Признаци";"за призн."
"83";"За";"Близки обекти";"за близ.об."
"84";"За";"Далечни обекти";"за далеч.об."
"85";"За";"Един притежател";"1 притеж."
"86";"За";"Много притежатели";"мн.притеж."
"87";"За";"Същини (лица и предмети)";"за същ."
"88";"За";"Притежание";"за прит."
"89";"Форма";"Субстантивна";"субст.ф."
"90";"За";"Количество";"за колич."
"91";"За";"Лица";"за лица"
"92";"Вид";"Бройно";"брой."
"93";"Вид";"Редно";"ред."
"94";"За";"Приблизителен брой";"за прибл.бр."
"95";"Форма";"Аористна";"аор.ф."
"96";"Вид";"Преходен";"прех."
"97";"Вид";"Непреходен";"непр."
"98";"Вид";"Спомагателен";"спом."
"99";"Вид";"Безличен";"безл."
"100";"Част на речта";"Съкращение";"съкр."
"101";"Означава";"Фамилно име";"фамил."
"102";"Вид";"Възвратно притежателно";"възв.прит."
"103";"Означава";"Буква";"Буква"
"104";"Вид";"Буква";"Буква"
